		2019-01-02	Środa	Pływanie	60	90									1800	Technika	Bardzo lekko czuję lewą stopę, po fizjo już prawie nic, dobre czucie wody, Rehabilitacja #8 	https://connect.garmin.com/modern/activity/3265563664
		2019-07-28	Niedziela	Rower	170	25	151	172	87	287		197,2	1348	33,4	93	Czasówka - Tempo po górach	Gorąco (+32), słaby dzień, KOM	https://connect.garmin.com/modern/activity/3892125537	https://www.strava.com/activities/2571000791
		2019-07-29	Poniedziałek	Rower	75		125	141	87	224		52,4	291	34,2	41	Zakładka - Czasówka - tlen	Niskie tętno, dobry trening	https://connect.garmin.com/modern/activity/3895021192	https://www.strava.com/activities/2573284942
		2019-07-29	Poniedziałek	Bieganie	70	25	144	149					77	04:19	16	Zakładka - tlen	Dobre, lekkie bieganie	https://connect.garmin.com/modern/activity/3895028022	
		2019-07-30	Wtorek	Pływanie	55										2100	CSS - 8x200m/20s @1:45		https://connect.garmin.com/modern/activity/3899019020	
		2019-07-30	Wtorek	Siłownia	55	60										Ręce + core
		2019-07-31	Środa	Rower	105		144	161	86	299		125	30	36,8	62	Zakładka - Czasówka- Wytrzymałość siłowa (tempo) - 3*20min @330-335W / 5min	KOM, pod koniec czuję już mocno nogi po wczorajszej siłce, niższe tętno niż ostatnio, najlepsze interwały tempo na czasówce, HR/W: 153/330, 154/333, 155/335	https://connect.garmin.com/modern/activity/3902151134	https://www.strava.com/activities/2579186245
		2019-07-31	Środa	Bieganie	60	10	147	169					139	04:51	12	Zakładka - BS 6km po 4.15-20+ podbiegi ze skipami  8-10x200/200+2-3km BS	Czuję nogi po rowerze	https://connect.garmin.com/modern/activity/3902156366	
		2019-08-01	Czwartek	Bieganie	70	25	151	167					2	04:19	15.5	BS 3km +interwały 6x1500(tempo 3.40-45)/1min odpoczynku+3km BS		https://connect.garmin.com/modern/activity/3905128525	
		2019-08-02	Piątek	Pływanie	60	30									2300	CSS - 4x400m / 40s	Słaby dzień	https://connect.garmin.com/modern/activity/3907785127	
		2019-08-02	Piątek	Rower	110	30	144	168	90	303		141	1123	30,9	55	Czasówka - Wytrzymałość siłowa - podjazdy - 5*10-15min @340-350W / 3min	Mocna noga, super trening, suma interwałów: 48min, HR/W: 157/343, 157/349, 158/351, 158/351, 159/ 355	https://connect.garmin.com/modern/activity/3908622155	https://www.strava.com/activities/2584568536
		2019-08-03	Sobota	Bieganie	105	25	150	168					125	04:20	24	BS 2km+4x1500(tempo 3.40)/1min odpoczynku+8km po 4.30+3-4x1500(tempo 3.40-45)/1min odpoczynku +1-2km truchtu	Dobry trening, nie czuję nóg po wczorajszym mocnym rowerze	https://connect.garmin.com/modern/activity/3911057207	https://www.strava.com/activities/2586568992
		2019-08-04	Niedziela	Rower	180	25	143	161	89	286		206,5	1215	34,3	100	Czasówka - tempo po górach	Mocno czuję nogi po wczorajszym bieganiu, 3x prawie KOM - w sumie zabrakło 14s do trzech KOMów	https://connect.garmin.com/modern/activity/3914716097	
		2019-08-04	Niedziela	Pływanie	55	30									2100	15x100m / 10s - 1:45	Bardzo słąby dzień, zmęczony rowerem	https://connect.garmin.com/modern/activity/3916077222	
		2019-08-05	Poniedziałek	Rower	60	60	110	128	87	167		24,2	36	29,4	30	Regeneracja		https://connect.garmin.com/modern/activity/3917650364	https://www.strava.com/activities/2592158346
		2019-08-07	Środa	Pływanie	50										2000	9x200m - rura, baniak, łapki, styl	Raczej słaby dzień	https://connect.garmin.com/modern/activity/3925771611	
		2019-08-07	Środa	Siłownia	55	70										Core + ręce + łydki
		2019-08-07	Środa	Bieganie	60	25	131	139					8	04:59	12	14km w tlenie (130-135)	Zero mocy po saunie i siłce	https://connect.garmin.com/modern/activity/3926731616	
		2019-08-08	Czwartek	Bieganie	70	25	142	164					118	04:57	13.6	BS 8km tlen+ podbiegi ze skipami 8-10x150/150+2-3km BS	Gorąco (+28)	https://connect.garmin.com/modern/activity/3929186928	
		2019-08-09	Piątek	Pływanie	50	60									2000	CSS - 4x400m / 40s	Fizjoterapia	https://connect.garmin.com/modern/activity/3932199901	
		2019-08-10	Sobota	Rower	75	10	145	177	86	294		92,2	188	32,8	41	Test FTP	Gorąco (+32), śr moc - 367W, FTP - ok. 360W	https://connect.garmin.com/modern/activity/3935134430	https://www.strava.com/activities/2606502137
		2019-08-10	Sobota	Bieganie	65	30	149	159					16	04:15	15.1	BS 3km+ 8-10km (tempo 4.05-10, nie szybciej)+1-2km BS	Parno	https://connect.garmin.com/modern/activity/3936726961	
		2019-08-11	Niedziela	Bieganie	55	25	143	147					8	04:17	12.2	12-14km bieg spokojny		https://connect.garmin.com/modern/activity/3940360877	
		2019-08-12	Poniedziałek	Góry	60								200		4	Stare Wierchy
		2019-08-12	Poniedziałek	Rower	85	25	147	171	87	311		116	31	36,6	51	Czasówka - wytrzymałość siłowa - 4x12min @360-370W / 3min	Mega parno i gorąco (+29), najlepsze interwały na czasówce - podobnie jak 23.07.19,  suma interwałów: 48min, HR/W: 158/357, 159/357, 161/357, 161/357	https://connect.garmin.com/modern/activity/3943299062	https://www.strava.com/activities/2613102361
		2019-08-13	Wtorek	Bieganie	65	90	148	166					14	04:16	14.5	Dziś lub jutro BS 3km +1km(tempo 3.40)+2km(tempo 3.45)+3km(tempo 3.45-50)+2(3.40-45)+1(3.40), wszystko na przerwach 1,5-2min odpoczynku+2km BS	Dobre, lekkie bieganie, niskie tętno	https://connect.garmin.com/modern/activity/3946188340	
		2019-08-14	Środa	Pływanie	60										2200	CSS - 8x200m/20s @1:46		https://connect.garmin.com/modern/activity/3949658681	
		2019-08-14	Środa	Siłownia	60											Core + ręce + łydki
		2019-08-15	Czwartek	Rower	185	10	143	162	89	282		188,2	1424	33,2	102	Czasówka - tempo po górach	Czuję nogi po siłce	https://connect.garmin.com/modern/activity/3952783380	https://www.strava.com/activities/2620946575
		2019-08-15	Czwartek	Bieganie	70	35	144	168					220	04:49	14.5	BS 8-10km po 4.20-30+ podbiegi z siłą biegową 6-8x200/200	Dobry trening	https://connect.garmin.com/modern/activity/3953625969	
		2019-08-16	Piątek	Pływanie	55										1800	10x100m	Bardzo słaby trening, przerwany	https://connect.garmin.com/modern/activity/3955663634	
		2019-08-16	Piątek	Rower	80		125	155	89	247	1.92	59,5	399	33,3	42	Zakładka - Czasówka - tlen	Nie czuję mocy w nogach, przerwany trening siłowy	https://connect.garmin.com/modern/activity/3956785294	https://www.strava.com/activities/2624238194
		2019-08-16	Piątek	Bieganie	55	30	140	146					72	04:18	12	BS (zakładka, tlen) 12-14km	Nie czuję mocy w nogach, bardzo niskie tętno, super tempo	https://connect.garmin.com/modern/activity/3956769874	
		2019-08-17	Sobota	Pływanie	60										2100	CSS - 4x400m / 40s	Bardzo słaby trening, przerwany	https://connect.garmin.com/modern/activity/3959890491	
		2019-08-18	Niedziela	Rower	115	20	134	164	89	295		122,9	1193	30.5	56	Czasówka - Wytrzymałość siłowa - podjazdy - 6*8min @350W / 5min	Czuję moc w nogach, spora rezerwa, bardzo niskie tętno, suma interwałów: 46min, HR/W: 152/346, 151/347, 151/347, 152/349, 153/351, 154/351	https://connect.garmin.com/modern/activity/3963215172	https://www.strava.com/activities/2629521506
		2019-08-18	Niedziela	Bieganie	80	30	146	162					101	04:09	19	2x (BS 4-5km po 4.25-30+4km(tempo 3.50-55)+1km truchtu	Bardzo niskie tętno, super trening, odcinki 4km po 3:45, tętno 155	https://connect.garmin.com/modern/activity/3964900058	
		2019-08-19	Poniedziałek	Rower	95	10	129	146	89	232		64,4	332	34	52	Czasówka - lekki tlen		https://connect.garmin.com/modern/activity/3966102564	https://www.strava.com/activities/2631907990
		2019-08-19	Poniedziałek	Pływanie	60	30									2100	CSS - 3x(50/100/150/200 /10s/15s/20s/40s)	Raczej słaby trening	https://connect.garmin.com/modern/activity/3968203421	
		2019-08-20	Wtorek	Rower	100	10	146	167	90	298		111,1	431	37,2	60	Czasówka- Wytrzymałość siłowa (tempo) - 3*20min @330-335W / 5min	Gorąco (+28), w samo południe, 2xKOM, podobnie jak ostatnio, ale teraz bardzo ciepło, HR/W: 153/330, 154/325, 156/330	https://connect.garmin.com/modern/activity/3970015660	https://www.strava.com/activities/2635093070
		2019-08-20	Wtorek	Bieganie	55	25	143	147					71	04:23	12	BS 12(tlen)	Mega parno i gorąco	https://connect.garmin.com/modern/activity/3970933885	
		2019-08-21	Środa	Bieganie	55	30	147	169					68	04:17	12.6	BS 3km+8x800(tempo 3.25-30)/1min odpoczynku+2-3km BS		https://connect.garmin.com/modern/activity/3973548834	
		2019-08-22	Czwartek	Rower	85	10	143	163	88	313		104,2	33	36,1	50	Zakładka - Czasówka - wytrzymałość siłowa - 4*12min @360-370W / 3min	Dobry trening, najlepsze interwały na czasówce, HR/W: 154/357, 156/357, 156/357, 157/358	https://connect.garmin.com/modern/activity/3977525080	https://www.strava.com/activities/2641383055
		2019-08-22	Czwartek	Bieganie	70	40	141	147					13	04:29	15	Zakładka - BS tlen(niskie tętno)  14-16km		https://connect.garmin.com/modern/activity/3977534135	
		2019-08-23	Piątek	Pływanie	60										2500	20x100m / 10s - 1:46	Średnie tempo <1:46 - najszybsze interwały w tempie startowym na 10s	https://connect.garmin.com/modern/activity/3980801301	
		2019-08-25	Sobota	Rower	150		140	160	88	290		156	1146	31,7	77	Czasówka - tempo		https://connect.garmin.com/modern/activity/3983152184	https://www.strava.com/activities/2646037427
		2019-08-25	Niedziela	Bieganie	85		155	166					16	03:56	21.2	3km BS + 16km próg anaerobowy - 160-162 + 2km BS	Super trening, prawie cały bieg na luzie, 18-19km już mocniej pracowałem, 16km@3:46 na śr tętnie 159, po biegu nie czuję się zmęczony	https://connect.garmin.com/modern/activity/3989287945	
		2019-08-25	Niedziela	Siłownia	60											Core + ręce + łydki			
		2019-08-26	Poniedziałek	Pływanie	55	60									2000	30x50m / 10s		https://connect.garmin.com/modern/activity/3991891651
		2019-08-27	Wtorek	Rower	70		147	171	85	301		80,2	26	35,9	41.5	Zakładka - czasówka - wytrzymałość siłowa - 3*12min @350W / 3min	Gorąco i parno (+30), ciężki trening, HR/W: 160/354, 163/353, 163/351	https://connect.garmin.com/modern/activity/3995280633	https://www.strava.com/activities/2656084328
		2019-08-27	Wtorek	Bieganie	55	10	144	168					24	04:34	11.4	Zakładka - BS 8-10km+rytmy 5-6x200/200	Biegnę z mega odciskiem	https://connect.garmin.com/modern/activity/3995287374	
		2019-08-28	Środa	Bieganie	60	20	149	167					16	04:18	14.3	BS 3km+2x3km(tempo 3.45, nie szybciej)/3min odpoczynku+5 km w tempie 4.20-25 BS(tlen)	Gorąco i parno (+31), potem burza (bardzo mocny wiatr), biegnę z odciskiem	https://connect.garmin.com/modern/activity/3998917267	
		2019-08-29	Czwartek	Rower	90	20	140	169	86	300		105,1	915	27,1	41	Czasówka - Wytrzymałość siłowa - podjazdy - 8*6min @350W	Gorąco i parno (+32), suma interwałów: 46min, HR/W: 153/352, 154/353, 155/353, 155/353, 156/352, 156/354, 159/358	https://www.strava.com/activities/2661919941	
		2019-08-30	Piątek	Pływanie	55										2000	12x100m / 20s < 1:40 - swimskin	Swimskin - najszybsze interwały 12x100m, zysk około 4-5s/100m	https://connect.garmin.com/modern/activity/4004995704	
		2019-08-30	Piątek	Rower	100	25	150	163	89	300		113,4	359	37,4	61	Czasówka - tempo startowe	Goraco (+30)	https://connect.garmin.com/modern/activity/4005627157	https://www.strava.com/activities/2664728084
		2019-08-31	Sobota	Bieganie	65	30	150	167					8	04:09	15.2	2x(4km w tempie 4.20-25+3km w tempie 3.40-45)+1-2km truchtu	Gorąco (+28)	https://connect.garmin.com/modern/activity/4009733507	
		2019-09-01	Niedziela	Pływanie	60										2300	CSS - 4x400m / 40s - swimskin		https://connect.garmin.com/modern/activity/4013698236	
		2019-09-03	Wtorek	Pływanie	50	80									2000	20x100m / 10s - 1:42 - swimskin	Swimskin, najszybsze interwały w tempie startowym na 10s	https://connect.garmin.com/modern/activity/4019274055
		2019-09-03	Wtorek	Rower	70	10	142	173	86	304		80,6	574	28,2	32	Czasówka - Wytrzymałość siłowa - podjazdy - 4*6min @360-370W	Czuję moc w nogach, suma interwałów: 30min, HR/W: 157/363, 161/367, 161/370, 162/374, 155/354	https://connect.garmin.com/modern/activity/4019710276	https://www.strava.com/activities/2676313489
		2019-09-03	Wtorek	Bieganie	40	30	144	167					6	04:20	9	BS 6-8km+4-5x200/200		https://connect.garmin.com/modern/activity/4020249325	
		2019-09-04	Środa	Bieganie	40	25	145	172					8	04:37	8.4	BS 3km+4-5x1km(tempo 3.35-40)/1,5-2min odpoczynku+1-2km truchtu	Ostatni interwał - 3:22	https://connect.garmin.com/modern/activity/4022658196	
		2019-09-05	Czwartek	Pływanie	30										1200	Rozruch w morzu - pływanie w tempie startowym - 800m	Bardzo duże fale, gps zwiariował, swimskin	https://connect.garmin.com/modern/activity/4027874785	
		2019-09-07	Sobota	Rower	20		124	163	74	232		14	130	20	7	Zakładka - rozruch		https://connect.garmin.com/modern/activity/4034099444	https://www.strava.com/activities/2688267995
		2019-09-07	Sobota	Bieganie	20	25	144	171					30	04:34	4.4	Zakładka - 4-5km lekki rozruch+ rytmy 4-5x140/150		https://connect.garmin.com/modern/activity/4034115818	
		2019-09-08	Niedziela	Pływanie	40									01:49	2000	MŚ IM 70.3 - Nicea	Spore fale, pływanie bez pianek - swimskin, płynę na luzie	https://connect.garmin.com/modern/activity/4036641388/1	
		2019-09-08	Niedziela	Rower	165		148	165	90	297		160	1532	33,9	92	MŚ IM 70.3 - Nicea	Najlepszy rower na zawodach, spora rezerwa, mogłem pojechać mocniej, rewelacyjny dzień na rowerze, 3 shoty magnezowe, 1.5l izo - mogło być nawet mniej	https://connect.garmin.com/modern/activity/4036641388/3	https://www.strava.com/activities/2690408770
		2019-09-08	Niedziela	Bieganie	90		158	172					12	04:06	21	MŚ IM 70.3 - Nicea	Kolka na 5 kilometrze - straciłem koło 6minut, bieg raczej z zapasem, 3 shoty magnezowe, na końcu po żelu kolka	https://connect.garmin.com/modern/activity/4036641388/5	
		2019-09-12	Czwartek	Góry	125								548		6	Tatry Słowackie - Chata Plesnivec		https://connect.garmin.com/modern/activity/4058877402	https://www.strava.com/activities/2708932836
		2019-09-13	Piątek	Góry	300								961		16.3	Tatry Słowackie - Wielka Świstówka		https://connect.garmin.com/modern/activity/4058877564	https://www.strava.com/activities/2708933031
		2019-09-14	Sobota	Góry	120								175		9	Tatry Słowackie - Chata Zamkowskiego		https://connect.garmin.com/modern/activity/4058877733	https://www.strava.com/activities/2708933047
		2019-09-20	Piątek	Pływanie	50	130									2200	Regeneracja		https://connect.garmin.com/modern/activity/4079151423
		2019-09-22	Niedziela	Rower	140	25	154	187	88	277		134,6	871	33,1	75	Brzostek	HrMax, 2 x 2nd place	https://connect.garmin.com/modern/activity/4085066994	https://www.strava.com/activities/2730746378
		2019-12-02	Poniedziałek	Siłownia	90	20										Nogi + ręce, PS
		2019-12-03	Wtorek	Bieganie	50	10	143	174					186	05:24	9.3	Siła biegowa - podbiegi 8x150/150m		https://connect.garmin.com/modern/activity/4305682503	https://www.strava.com/activities/2907986644
		2019-12-03	Wtorek	Siłownia	45	90										Core + ręce
		2019-12-04	Środa	Bieganie	50	10	142	148					10	04:42	10	Tlen	Dobre bieganie	https://connect.garmin.com/modern/activity/4309437539	https://www.strava.com/activities/2910947726
		2019-12-05	Czwartek	Siłownia	60	15										Core + ręce + łydki
		2019-12-06	Piątek	Pływanie	60										2000	Technika	Szybkie pływanie odcinków na tempo po dwóch tygodniach nie pływania	https://connect.garmin.com/modern/activity/4314916802
		2019-12-07	Sobota	Bieganie	100	170	164	180					559	05:05	17.3	Lasek	Bardzo mocny trening, wysokie tętno	https://connect.garmin.com/modern/activity/4317117608	https://www.strava.com/activities/2917021792
		2019-12-08	Niedziela	Rower	100	20	132	146	91	236	1.85	69,1	307	31,6	51	Tlen	Bardzo przyjemny trening, niskie tętno	https://connect.garmin.com/modern/activity/4320476383	https://www.strava.com/activities/2919767107
		2019-12-09	Poniedziałek	Siłownia	90	20										Nogi + ręce, PS
		2019-12-10	Wtorek	Bieganie	50	10	143	149						04:44	10	Tlen		https://connect.garmin.com/modern/activity/4325426530	https://www.strava.com/activities/2923602028
		2019-12-10	Wtorek	Siłownia	60	90										Core + ręce
		2019-12-11	Środa	Bieganie	50	25	144	171					169	05:12	9.7	Siła biegowa - 9x150/150m		https://connect.garmin.com/modern/activity/4329493131	https://www.strava.com/activities/2926769524
		2019-12-12	Czwartek	Siłownia	90	15										Core + ręce + łydki
		2019-12-13	Piątek	Bieganie	55	100	156	179					10	04:28	12	 Rozruch 3km i 5-6x1,5km(tempo 3.40-45)/odpoczynek 1-1,5min	Bardzo wysokie tętno, ciężki trening, mocny wiatr	https://connect.garmin.com/modern/activity/4333547493	https://www.strava.com/activities/2929942961
		2019-12-15	Niedziela	Bieganie	85	25	154	169					437	05:13	14.6	Lasek - spokojnie		https://connect.garmin.com/modern/activity/4339321404
		2019-12-15	Niedziela	Pływanie	60										2000	Technika	Szybkie pływanie odcinków tempo	https://connect.garmin.com/modern/activity/4340653390
		2019-12-16	Poniedziałek	Siłownia	90	15										SM - Nogi + ręce
		2019-12-17	Wtorek	Bieganie	55	60	148	179					20	04:35	11.2	bs 3km+ rytmy (najlepiej stadion) 4x200/200+ 2x400(tempo 3.10-20)/400 w truchcie+1x800(tempo 3.20-25)/400 w truchcie+2x400/400+2-4x200/200+2km schłodzenia	Bardzo wysokie tętno, Trochę czuje prawą nogę w okolicach miednicy, po treningu jest źle, czuję podczas podnoszenia nogi do góry	https://connect.garmin.com/modern/activity/4344837182
		2019-12-17	Wtorek	Siłownia	60	105										Core + ręce	We środę Rehabilitacja
		2019-12-19	Czwartek	Bieganie	115	90	155	174					660	05:17	19.5	Lasek - 16-19km	Podczas biegania prawie nic nie czuję, po bieganiu jest lepiej niż przed, Rehab - prawa noga - igły	https://connect.garmin.com/modern/activity/4350438778	https://www.strava.com/activities/2943188803
		2019-12-20	Piątek	Rower	100	10	130	147	87	215	1.69	58,4	296	31	51	Tlen	Czuję nogi po bieganiu	https://connect.garmin.com/modern/activity/4352716588	https://www.strava.com/activities/2944936183
		2019-12-20	Piątek	Siłownia	60	15										Core + ręce
		2019-12-21	Sobota	Bieganie	45	25	153	166					10	04:19	10	BS 3km+6km w II zakresie+1km truchtu	Nie czuję już nogi	https://connect.garmin.com/modern/activity/4354721034
		2019-12-21	Sobota	Pływanie	60	60									2200	Technika	Szybkie, lekkie pływanie, tempo 1:50 - 1:55 regeneracyjne	https://connect.garmin.com/modern/activity/4356286712
		2019-12-22	Niedziela	Bieganie	60	10	144	174					210	05:11	10.7	Siła biegowa - 9x200/200m	Niższe tętno - 141/4:35/6km	https://connect.garmin.com/modern/activity/4358022921
		2019-12-23	Poniedziałek	Siłownia	90	15										SM - Nogi + core + ręce	Naciągnięcie/naderwanie mięśnia czworogłowego prawego uda
		2019-12-26	Czwartek	Bieganie	60	20	135	148					144	05:02	12.1	BS 12-14km w tlenie	Lekko czuję prawe udo	https://connect.garmin.com/modern/activity/4369449838
		2019-12-27	Piątek	Bieganie	55	10	144	164					44	04:41	11.3	BS 6-7km po 4.30-35+rytmy 5-6x150/150	Lekko czuję prawe udo	https://connect.garmin.com/modern/activity/4372383088
		2019-12-27	Piątek	Siłownia	70	10										Core + ręce
		2019-12-28	Sobota	Narty	25										10	Jaworzyna		https://connect.garmin.com/modern/activity/4375362475	https://www.strava.com/activities/2962641757
		2019-12-28	Sobota	Pływanie	50	60									1800	Technika		https://connect.garmin.com/modern/activity/4376487887
		2019-12-29	Niedziela	Bieganie	60	25	149	168					121	04:14	14.1	BS 2km+ 5km(tempo progowe, na tętno 163-165)+1km BS+3km( na tetno 163-165)+1-2km truchtu	Lepiej niż ostatnio: 5km/161/3:44, 3km/163/3:41, lekko czuję prawe udo, po bieganiu i rozciąganiu lepiej	https://connect.garmin.com/modern/activity/4379280042
		2019-12-30	Poniedziałek	Siłownia	60											Core + ręce
		2019-12-30	Poniedziałek	Pływanie	25	70								01:51	1100	Rege - 300m + 2x400m	Bardzo dobre tempo	https://connect.garmin.com/modern/activity/4382741376
		2019-12-31	Wtorek	Bieganie	55	25	148	180					0	04:30	12	BS 3km+10x400(1.08-12)/400 truchtu+1-2km BS	Bardzo mocny trening, mokra bieżnia, mocny wiatr + śnieg, najszybsze 400setki ever (1'12)	https://connect.garmin.com/modern/activity/4385139821
