		2023-01-02	Poniedziałek	Bieganie	60	90	149	179					7	04:38	11.4	bs 3km+ rytmy (najlepiej stadion) 4x200/200+ 2x400(tempo 3.10-20)/400 w truchcie+1x800(tempo 3.20-25)/400 w truchcie+2x400/400+2-4x200/200+2km schłodzenia, REHABILITACJA - pachwina	Bardzo wysokie tętno, ale trzymam tempo, 200m w 35s, 400m w 1:16
		2023-12-02	Sobota	Rower	75		150	161	93	220		52	0	30	38	Rehab - tlen, trenażer	Jest lepiej niż ostatnio, balans: 46/54	
		2023-12-03	Niedziela	Skitury 	120	40	139	163					744		7,8	Śnieżnica	Pierwsze wyjście ok, potem przy drugim już czuję kolano od zewnętrznej strony z tyłu
		2023-12-04	Poniedziałek	Siłownia 	70	120										Ręce + core + pośladki + zakres	czuję kolano od zewnętrznej strony z tyłu
		2023-12-06	Środa	Rower	60	60	147	155	95	221		37	0	30	30	Rehab - tlen, trenażer	Niższe tętno niż ostatnio, balans 46/54, cały dzień czuję kolano od zewnętrznej strony z tyłu i trochę od wewnętrznej strony przy przeproście. Czuję jakby było mniej stabilne	
		2023-12-06	Środa	Siłownia 	65											Ręce + core + pośladki + zakres	FIZJOTERAPIA, jest lepiej z kolanem po zewnętrznej stronie 	
		2023-12-07	Czwartek	Siłownia 	60	60										Nogi	Jest lepiej z kolanem po zewnętrznej stronie, ale nadal czuję po wewnętrznej stronie i tak jakby było mniej stabilne	
		2023-12-08	Piątek	Pływanie	45	150									1000	Technika + 6 x 25nn, zakres	FIZJOTERAPIA	
		2023-12-09	Sobota	Siłownia 	90	60										Nogi + zakres	Nadal czuję kolano, ale po ćwiczeniach jest lepiej niż ostatnio, zgięcie pomaga na ten przeprost 	
		2023-12-10	Niedziela	Rower	90	30	155	163	89	226		66	0	30	45	Rehab - tlen, trenażer	Mega wysokie tętno, balans 47/53, po godzinie zaczynam czuć kolano	
		2023-12-11	Poniedziałek	Siłownia 	70	90										Ręce + rehab + zakres	nadal trochę czuję kolano w części przyśrodkowej podczas chodzenia
		2023-12-13	Środa	Siłownia 	85	20										Ręce + core + rehab + zakres	Dziś trochę lepiej niż wczoraj	
		2023-12-15	Piątek	Pływanie	45	150									1100	Technika + 6 x 25nn, zakres	REHABILITACJA - czwartek, we czwartek jest tak sobie,  w piątek troszkę lepiej	
		2023-12-16	Sobota	Siłownia 	90	40										Nogi		
		2023-12-17	Niedziela	Rower	65	70	153	164	91	221		44	32	29,1	30	Rehab - tlen	Lepiej z kolanem niż tydzień temu. Mega wysokie tętno, balans 44/56	
		2023-12-18	Poniedziałek	Rower	65		140	151	89	213		41	32	29,9	31	Rehab - tlen	Dużo niższe tętno niż wczoraj, trochę czuję kolano, czuję że mam mało mocy w lewej nodze. Balans 45/55
		2023-12-18	Poniedziałek	Siłownia 	80											Rehab - nogi		
		2023-12-18	Poniedziałek	Siłownia 	40	30										Ręce		
		2023-12-19	Wtorek	Rower	75	180	143	152	90	224		54	35	32,3	41	Rehab - tlen	Trochę lepiej z nogą niż wczoraj, balans 47/53	
		2023-12-22	Piątek	Siłownia 	95	90										Nogi	REHABILITACJA - czwartek, po rehabilitacji wcale nie jest lepiej, na drugi dzień też nie. Po ćwiczeniach jest lepiej. Przeziębiony 	
		2023-12-23	Sobota	Rower	80	30	140	156	87	225		58	132	29,1	39	Rehab - tlen	Po wczorajszych ćwiczeniach jest lepiej. Na rowerze w środku treningu trochę czuję kolano po wewnętrznej stronie, potem lepiej. Balans 45/55, przeziębiony 	
		2023-12-24	Niedziela	Siłownia 	95											Nogi	Przeziębiony	
		2023-12-26	Wtorek	Siłownia 	70	30										Ręce + rehab	Przeziębiony, bardzo osłabiony
		2023-12-27	Środa	Rower	85	30	140	160	88	220		57	300	30,4	41	Rehab - tlen	Przeziębiony, mocny wiatr, mega brak mocy, praktycznie nie czuję kolana podczas treningu, balans 45/55	
		2023-12-28	Czwartek	Siłownia 	90	30										Nogi	Przeziębiony, 5 x (suwnica 70kg + wykroki 8*2*12kg + stabilizacja z pochyleniem na jednej nodze 10*8kg), delikatnie kolano spuchło 	
		2023-12-29	Piątek	Rower	100	40	152	169	91	243		82	474	31,4	50	Rehab - tempo	Przeziębiony, Delikatnie czuję kolano od rana, podczas jazdy praktycznie nie czuję, pierwszy raz czuję moc w lewej nodze, balans 45/55	
		2023-12-30	Sobota	Rower	105	40	147	170	90	239		85	727	29,2	50	Rehab - tlen po górkach	Przeziębiony, podczas jazdy praktycznie nie czuję, dzisiaj mniej mocy w lewej nodze niż wczoraj, balans 45/55	
		2023-12-30	Sobota	Siłownia 	30											Ręce	Przeziębiony	
		2023-12-31	Niedziela	Siłownia 	70	40										Nogi	Przeziębiony, 5 x (suwnica 70kg + wykroki 8*2*12kg + stabilizacja z pochyleniem na jednej nodze 10*8kg)
