		2021-01-01	Piątek	Bieganie	50	20	143	151					89	04:50	10.1	Tlen	Niższe tętno niż ostatnio, bardzo delikatnie czuję stopę podczas biegania	https://connect.garmin.com/modern/activity/6035878054
		2021-12-19	Niedziela	Bieganie	35		132	138					6	05:43	6.1	Rehabilitacja - trucht	Lekko czuję powyżej kostki, po wewnętrznej		
		2021-12-20	Poniedziałek	Siłownia	25											Rehabilitacja	Czuję moc w stopie
		2021-12-20	Poniedziałek	Siłownia	70											Nogi	Prawie w ogóle nie czuję stopy		
		2021-12-21	Wtorek	Bieganie	40	15	141	151					7	05:20	7,5	Rehabilitacja - trucht	Rehabilitacja #31, bieganie po rehabilitacji - wieczorem czuję już mocno stopę		
		2021-12-22	Środa	Siłownia	80	15										Ręce + core			
		2021-12-23	Czwartek	Skitury	125	10	150	170					1223		12.2	Spytkowice x10	Jak na pierwszy raz nie najgorzej, momentami czułem pieczenie przy kostce, ale do wytrzymania, podczas zjeżdżania momentami czułem ucisk		
		2021-12-24	Piątek	Siłownia	20											Rehabilitacja	Mocno czuję kostkę cały dzień		
		2021-12-24	Piątek	Bieganie	45		142	150					6	05:18	8.1	Rehabilitacja - trucht	Po bieganiu jeszcze bardziej czuję kostkę, jest bardzo słabo		
		2021-12-26	Niedziela	Skitury	150	10	151	170					1527		14,7	Koninki x5	Mocno czuję kostkę, zwłaszcza pod koniec, jest bardzo słabo		
		2021-12-28	Wtorek	Siłownia	90											Nogi + rehabilitacja
		2021-12-29	Środa	Siłownia	15											Rehab - dynamika			
		2021-12-29	Środa	Bieganie	50	20	142	164					214	05:56	8.5	Rehabilitacja - trucht pod kopiec
